dataset,rv_weight,seed,bv_target_cls,clean_acc,asr
CIFAR100,0.6,1,3,58.57,1.7171717171717171
Cars,0.6,1,3,31.053351573187417,0.0
EuroSAT,0.6,1,3,25.555555555555554,0.0
GTSRB,0.6,1,3,34.25178147268409,0.0
PETS,0.6,1,3,59.60752248569092,0.0
SUN397,0.6,1,3,14.327455919395465,0.0
CIFAR100,0.7,1,3,57.879999999999995,0.2222222222222222
Cars,0.7,1,3,20.159184181072007,0.0
EuroSAT,0.7,1,3,23.59259259259259,0.0
GTSRB,0.7,1,3,30.95011876484561,0.0
PETS,0.7,1,3,47.015535568274736,0.0
SUN397,0.7,1,3,10.690176322418136,0.0
CIFAR100,0.8,1,3,57.06,0.0808080808080808
Cars,0.8,1,3,11.317000373087923,0.0
EuroSAT,0.8,1,3,21.48148148148148,0.0
GTSRB,0.8,1,3,27.26049089469517,0.0
PETS,0.8,1,3,35.78631779776506,0.0
SUN397,0.8,1,3,7.944584382871536,0.0
CIFAR100,0.9,1,3,55.910000000000004,0.050505050505050504
Cars,0.9,1,3,5.683372714836463,0.0
EuroSAT,0.9,1,3,20.48148148148148,0.0
GTSRB,0.9,1,3,24.156769596199528,0.0
PETS,0.9,1,3,27.17361678931589,0.0
SUN397,0.9,1,3,5.904282115869018,0.0
CIFAR100,1.0,1,3,54.14,0.0101010101010101
Cars,1.0,1,3,3.0468847158313643,0.0
EuroSAT,1.0,1,3,22.14814814814815,0.0
GTSRB,1.0,1,3,20.902612826603324,0.0
PETS,1.0,1,3,21.967838648133007,0.0
SUN397,1.0,1,3,4.463476070528967,0.0
