dataset,rv_weight,seed,bv_target_cls,clean_acc,asr
Cars,0.5,1,3,53.72466111180202,0.0
EuroSAT,0.5,1,3,40.85185185185185,0.0
GTSRB,0.5,1,3,41.060965954077595,0.0
PETS,0.5,1,3,83.51049332243117,0.0
SUN397,0.5,1,3,22.397984886649873,0.0
CIFAR100,0.6,1,3,60.92999999999999,13.18181818181818
Cars,0.6,1,3,50.429051113045645,0.0
EuroSAT,0.6,1,3,33.62962962962963,0.0
GTSRB,0.6,1,3,37.656373713380844,0.0
PETS,0.6,1,3,82.33851185609157,0.0
SUN397,0.6,1,3,21.60705289672544,0.0
CIFAR100,0.7,1,3,56.39999999999999,4.888888888888889
Cars,0.7,1,3,47.668200472578036,0.0
EuroSAT,0.7,1,3,28.296296296296298,0.0
GTSRB,0.7,1,3,34.64766429136976,0.0
PETS,0.7,1,3,80.5669119651131,0.0
SUN397,0.7,1,3,20.715365239294712,0.0
CIFAR100,0.8,1,3,52.62,2.484848484848485
Cars,0.8,1,3,43.94975749284915,0.0
EuroSAT,0.8,1,3,24.22222222222222,0.0
GTSRB,0.8,1,3,32.066508313539195,0.0
PETS,0.8,1,3,79.25865358408286,0.0
SUN397,0.8,1,3,19.27455919395466,0.0
CIFAR100,0.9,1,3,48.6,1.8686868686868685
Cars,0.9,1,3,40.753637607262775,0.0
EuroSAT,0.9,1,3,20.925925925925924,0.0
GTSRB,0.9,1,3,29.58036421219319,0.0
PETS,0.9,1,3,77.51430907604252,0.0
SUN397,0.9,1,3,17.91939546599496,0.0
CIFAR100,1.0,1,3,44.56,1.6262626262626263
Cars,1.0,1,3,37.047630891680136,0.0
EuroSAT,1.0,1,3,18.777777777777775,0.0
GTSRB,1.0,1,3,27.331749802058592,0.0
PETS,1.0,1,3,75.7972199509403,0.0
SUN397,1.0,1,3,16.387909319899244,0.0
