dataset,rv_weight,seed,bv_target_cls,clean_acc,asr
Cars,0.0,1,2,61.410272354184805,0.0
EuroSAT,0.0,1,2,80.22222222222221,0.0
GTSRB,0.0,1,2,52.16943784639747,0.0
PETS,0.0,1,2,87.76233306077951,0.0
SUN397,0.0,1,2,25.103274559193956,0.0
CIFAR100,0.03333333333333333,1,2,71.71,98.4949494949495
Cars,0.03333333333333333,1,2,61.59681631637856,0.0
EuroSAT,0.03333333333333333,1,2,78.03703703703704,0.0
GTSRB,0.03333333333333333,1,2,50.57007125890737,0.0
PETS,0.03333333333333333,1,2,87.43526846552194,0.0
SUN397,0.03333333333333333,1,2,24.93198992443325,0.0
CIFAR100,0.06666666666666667,1,2,67.7,92.20202020202021
Cars,0.06666666666666667,1,2,59.880611864196,0.0
EuroSAT,0.06666666666666667,1,2,65.70370370370371,0.0
GTSRB,0.06666666666666667,1,2,47.22882026920032,0.0
PETS,0.06666666666666667,1,2,86.91741618969746,0.0
SUN397,0.06666666666666667,1,2,24.2367758186398,0.0
CIFAR100,0.09999999999999999,1,2,63.65,78.28282828282829
Cars,0.09999999999999999,1,2,56.48551175226962,0.0
EuroSAT,0.09999999999999999,1,2,51.629629629629626,0.0
GTSRB,0.09999999999999999,1,2,44.67141726049089,0.0
PETS,0.09999999999999999,1,2,85.0640501499046,0.0
SUN397,0.09999999999999999,1,2,23.042821158690177,0.0
CIFAR100,0.13333333333333333,1,2,61.309999999999995,57.78787878787879
Cars,0.13333333333333333,1,2,50.391742320606895,0.0
EuroSAT,0.13333333333333333,1,2,37.888888888888886,0.0
GTSRB,0.13333333333333333,1,2,41.211401425178146,0.0
PETS,0.13333333333333333,1,2,80.78495502861816,0.0
SUN397,0.13333333333333333,1,2,21.329974811083126,0.0
CIFAR100,0.16666666666666666,1,2,60.17,31.48484848484848
Cars,0.16666666666666666,1,2,43.06678273846536,0.0
EuroSAT,0.16666666666666666,1,2,29.259259259259256,0.0
GTSRB,0.16666666666666666,1,2,38.05225653206651,0.0
PETS,0.16666666666666666,1,2,72.98991550831289,0.0
SUN397,0.16666666666666666,1,2,18.483627204030224,0.0
CIFAR100,0.19999999999999998,1,2,59.919999999999995,10.06060606060606
Cars,0.19999999999999998,1,2,33.515731874145004,0.0
EuroSAT,0.19999999999999998,1,2,24.962962962962962,0.0
GTSRB,0.19999999999999998,1,2,34.82185273159145,0.0
PETS,0.19999999999999998,1,2,61.40637775960752,0.0
SUN397,0.19999999999999998,1,2,14.841309823677582,0.0
CIFAR100,0.2333333333333333,1,2,59.260000000000005,1.9292929292929293
Cars,0.2333333333333333,1,2,23.38017659495088,0.0
EuroSAT,0.2333333333333333,1,2,22.333333333333332,0.0
GTSRB,0.2333333333333333,1,2,31.567695961995252,0.0
PETS,0.2333333333333333,1,2,49.4140092668302,0.0
SUN397,0.2333333333333333,1,2,11.224181360201511,0.0
CIFAR100,0.26666666666666666,1,2,59.089999999999996,1.0505050505050506
Cars,0.26666666666666666,1,2,14.003233428678024,0.0
EuroSAT,0.26666666666666666,1,2,20.77777777777778,0.0
GTSRB,0.26666666666666666,1,2,27.806809184481395,0.0
PETS,0.26666666666666666,1,2,38.23930226219679,0.0
SUN397,0.26666666666666666,1,2,8.347607052896725,0.0
CIFAR100,0.3,1,2,57.98,1.1414141414141414
Cars,0.3,1,2,7.598557393359035,0.0
EuroSAT,0.3,1,2,20.333333333333332,0.0
GTSRB,0.3,1,2,24.908946951702298,0.0
PETS,0.3,1,2,29.708367402562008,0.0
SUN397,0.3,1,2,6.312342569269521,0.0
CIFAR100,0.3333333333333333,1,2,56.08,1.2626262626262625
Cars,0.3333333333333333,1,2,3.942295734361398,0.0
EuroSAT,0.3333333333333333,1,2,20.037037037037038,0.0
GTSRB,0.3333333333333333,1,2,22.486144101346,0.0
PETS,0.3333333333333333,1,2,24.1210139002453,0.0
SUN397,0.3333333333333333,1,2,4.861460957178841,0.0
CIFAR100,0.0,1,3,74.24,100.0
Cars,0.0,1,3,61.34809103345356,0.0
EuroSAT,0.0,1,3,81.07407407407408,0.0
GTSRB,0.0,1,3,51.567695961995256,0.0
PETS,0.0,1,3,87.46252384846007,0.0
SUN397,0.0,1,3,25.113350125944585,0.0
CIFAR100,0.03333333333333333,1,3,71.24000000000001,99.94949494949495
Cars,0.03333333333333333,1,3,61.50976246735481,0.0
EuroSAT,0.03333333333333333,1,3,78.11111111111111,0.0
GTSRB,0.03333333333333333,1,3,50.3562945368171,0.0
PETS,0.03333333333333333,1,3,87.43526846552194,0.0
SUN397,0.03333333333333333,1,3,24.83627204030227,0.0
CIFAR100,0.06666666666666667,1,3,67.49000000000001,99.01010101010101
Cars,0.06666666666666667,1,3,59.8059942793185,0.0
EuroSAT,0.06666666666666667,1,3,65.18518518518519,0.0
GTSRB,0.06666666666666667,1,3,47.022961203483774,0.0
PETS,0.06666666666666667,1,3,86.97192695557374,0.0
SUN397,0.06666666666666667,1,3,24.256926952141058,0.0
CIFAR100,0.09999999999999999,1,3,63.449999999999996,93.98989898989899
Cars,0.09999999999999999,1,3,56.274095261783366,0.0
EuroSAT,0.09999999999999999,1,3,51.2962962962963,0.0
GTSRB,0.09999999999999999,1,3,44.204275534441805,0.0
PETS,0.09999999999999999,1,3,84.73698555464703,0.0
SUN397,0.09999999999999999,1,3,23.002518891687657,0.0
CIFAR100,0.13333333333333333,1,3,61.31999999999999,72.3030303030303
Cars,0.13333333333333333,1,3,50.317124735729394,0.0
EuroSAT,0.13333333333333333,1,3,37.96296296296296,0.0
GTSRB,0.13333333333333333,1,3,40.80760095011877,0.0
PETS,0.13333333333333333,1,3,80.40337966748433,0.0
SUN397,0.13333333333333333,1,3,21.229219143576827,0.0
CIFAR100,0.16666666666666666,1,3,60.370000000000005,25.474747474747474
Cars,0.16666666666666666,1,3,42.8056211913941,0.0
EuroSAT,0.16666666666666666,1,3,29.37037037037037,0.0
GTSRB,0.16666666666666666,1,3,37.783056215360254,0.0
PETS,0.16666666666666666,1,3,72.28127555192151,0.0
SUN397,0.16666666666666666,1,3,18.45340050377834,0.0
CIFAR100,0.19999999999999998,1,3,60.160000000000004,1.7676767676767675
Cars,0.19999999999999998,1,3,33.14264394975749,0.0
EuroSAT,0.19999999999999998,1,3,24.74074074074074,0.0
GTSRB,0.19999999999999998,1,3,34.86935866983373,0.0
PETS,0.19999999999999998,1,3,60.80675933496865,0.0
SUN397,0.19999999999999998,1,3,14.846347607052895,0.0
CIFAR100,0.2333333333333333,1,3,59.96,0.33333333333333337
Cars,0.2333333333333333,1,3,23.131451312025867,0.0
EuroSAT,0.2333333333333333,1,3,22.0,0.0
GTSRB,0.2333333333333333,1,3,31.536025336500394,0.0
PETS,0.2333333333333333,1,3,48.296538566366856,0.0
SUN397,0.2333333333333333,1,3,11.178841309823676,0.0
CIFAR100,0.26666666666666666,1,3,59.78,0.1111111111111111
Cars,0.26666666666666666,1,3,13.393856485511751,0.0
EuroSAT,0.26666666666666666,1,3,20.59259259259259,0.0
GTSRB,0.26666666666666666,1,3,28.083927157561362,0.0
PETS,0.26666666666666666,1,3,37.28536385936223,0.0
SUN397,0.26666666666666666,1,3,8.382871536523929,0.0
CIFAR100,0.3,1,3,58.660000000000004,0.050505050505050504
Cars,0.3,1,3,7.225469468971521,0.0
EuroSAT,0.3,1,3,19.925925925925924,0.0
GTSRB,0.3,1,3,25.051464766429138,0.0
PETS,0.3,1,3,29.08149359498501,0.0
SUN397,0.3,1,3,6.287153652392948,0.0
CIFAR100,0.3333333333333333,1,3,56.74,0.0202020202020202
Cars,0.3333333333333333,1,3,3.817933092898893,0.0
EuroSAT,0.3333333333333333,1,3,20.11111111111111,0.0
GTSRB,0.3333333333333333,1,3,22.43863816310372,0.0
PETS,0.3333333333333333,1,3,23.13982011447261,0.0
SUN397,0.3333333333333333,1,3,4.8816120906801,0.0
